Item,Year,Value,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR_SUM,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M
Olives,2017,9695.2,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Wheat,2017,6433.3,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Barley,2018,6655.6,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Dates,2018,11219.5,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Lemons and limes,2018,19891.5,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Olives,2018,11927.3,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Wheat,2018,6533.4,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Barley,2019,6654.9,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Dates,2019,12861.5,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Lemons and limes,2019,19891.5,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Olives,2019,15230.2,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Wheat,2019,5902.3,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Barley,2020,5373.9,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Dates,2020,10096.4,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Lemons and limes,2020,20000.0,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Olives,2020,11774.7,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Wheat,2020,6375.5,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Barley,2021,5405.4,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Dates,2021,10252.0,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Lemons and limes,2021,19784.1,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Olives,2021,11991.7,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Wheat,2021,6700.0,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Barley,2022,5498.7,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Dates,2022,10294.8,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Lemons and limes,2022,19837.3,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Olives,2022,12047.7,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Wheat,2022,6800.0,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
